tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
28.4,21.1,24.4,27.6,21.1,24.3,13.9,55.7,0.0,0,0.0,none,0.0,0.0,52.4,32.6,322.5,1016.3,41.8,16.0,305.2,26.3,10,0.69,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27.1,19.2,22.7,28.0,19.2,22.8,15.1,62.7,0.0,0,0.0,none,0.0,0.0,42.8,21.4,154.0,1020.2,55.2,16.0,261.9,22.5,10,0.72,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
31.9,20.5,25.6,33.6,20.5,26.3,19.8,72.2,5.704,100,20.83,rain,0.0,0.0,53.6,20.1,219.1,1015.4,57.7,15.6,203.9,17.6,8,0.75,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
28.8,20.9,25.0,29.1,20.9,25.1,17.4,64.0,0.498,100,8.33,rain,0.0,0.0,29.5,23.0,340.6,1013.8,58.0,16.0,252.5,21.8,8,0.78,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
32.1,21.6,25.8,35.1,21.6,27.0,20.2,72.1,4.403,100,8.33,rain,0.0,0.0,53.6,21.4,197.0,1009.4,56.7,16.0,267.4,23.2,10,0.81,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
33.2,23.0,28.3,35.2,23.0,29.2,19.6,62.0,0.036,100,4.17,rain,0.0,0.0,57.6,30.6,225.2,1006.8,55.7,15.9,254.8,22.0,9,0.85,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
31.1,21.9,25.7,32.8,21.9,26.1,18.2,64.1,6.795,100,16.67,rain,0.0,0.0,66.0,34.6,225.2,1008.1,52.4,15.9,193.9,16.6,9,0.88,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
29.3,19.3,24.7,28.9,19.3,24.7,16.2,60.8,0.0,0,0.0,none,0.0,0.0,31.7,16.5,283.3,1009.1,50.1,16.0,237.2,20.6,9,0.91,2019,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29.8,20.5,24.8,28.8,20.5,24.7,15.3,57.9,0.0,0,0.0,none,0.0,0.0,20.2,19.3,273.6,1009.7,66.5,16.0,271.4,23.4,9,0.94,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.3,19.1,23.7,29.4,19.1,23.8,16.3,64.6,0.455,100,12.5,rain,0.0,0.0,46.1,30.7,234.1,1008.1,55.1,15.9,221.1,19.2,8,0.98,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24.2,14.7,20.2,24.2,14.7,20.2,7.2,46.5,0.0,0,0.0,none,0.0,0.0,44.3,29.2,326.5,1014.7,38.8,16.0,311.6,26.9,10,0.0,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24.9,12.9,19.6,24.9,12.9,19.6,6.3,43.1,0.0,0,0.0,none,0.0,0.0,35.3,21.2,252.4,1020.1,29.5,16.0,303.7,26.1,10,0.04,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28.2,18.3,23.5,30.2,18.3,23.8,16.7,65.8,0.267,100,4.17,rain,0.0,0.0,53.3,23.6,203.9,1012.5,69.0,16.0,175.7,15.3,6,0.08,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
31.7,21.6,26.7,32.1,21.6,27.2,19.0,65.1,0.036,100,4.17,rain,0.0,0.0,38.9,22.1,295.3,1008.2,56.1,15.6,249.3,21.4,8,0.12,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.0,21.9,24.3,27.9,21.9,24.3,17.8,67.9,0.0,0,0.0,none,0.0,0.0,29.9,19.7,50.2,1012.1,74.0,16.0,124.2,10.6,4,0.15,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28.1,20.6,24.0,28.3,20.6,24.1,15.5,60.3,0.0,0,0.0,none,0.0,0.0,47.2,30.8,76.8,1017.8,70.1,16.0,250.5,21.5,9,0.19,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
