tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
22.1,11.1,16.3,22.1,11.1,16.3,6.4,54.0,0.0,0,0.0,none,0.0,0.0,39.6,26.1,246.4,1017.3,30.2,15.9,161.8,14.0,9,0.33,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24.9,15.6,18.6,24.9,15.6,18.6,13.4,72.5,10.234,100,16.67,rain,0.0,0.0,46.8,21.4,193.9,1010.2,71.7,15.2,67.2,5.7,4,0.37,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
23.8,14.3,19.2,23.8,14.3,19.2,7.8,53.8,15.555,100,12.5,rain,0.0,0.0,68.8,44.9,317.0,1009.1,50.3,15.2,152.5,13.3,8,0.4,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
14.3,9.3,12.3,14.3,8.0,12.1,3.3,55.6,4.488,100,16.67,rain,0.0,0.0,28.4,24.0,350.2,1014.5,81.0,15.2,57.0,5.0,2,0.44,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
13.8,8.8,11.2,13.8,5.4,10.5,7.8,80.9,1.657,100,33.33,rain,0.0,0.0,42.7,27.0,325.8,1009.1,79.1,13.4,46.5,4.0,2,0.47,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
19.9,7.0,13.3,19.9,4.8,12.4,1.2,50.5,0.46,100,16.67,rain,0.0,0.0,53.6,24.7,310.3,1012.1,33.9,15.9,139.2,12.0,8,0.5,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
19.9,6.7,14.0,19.9,1.6,13.5,4.9,56.5,3.255,100,20.83,rain,0.0,0.0,69.5,40.0,248.7,1008.3,62.9,15.9,44.4,3.9,2,0.54,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10.6,2.8,6.8,10.6,-1.7,3.6,-5.7,41.9,0.0,0,0.0,none,0.0,0.0,64.3,40.8,306.3,1017.5,40.5,16.0,105.1,9.2,5,0.57,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
18.3,3.1,11.1,18.3,0.1,10.2,-1.2,44.9,0.0,0,0.0,none,0.0,0.0,39.9,30.4,201.2,1021.0,22.4,16.0,132.7,11.6,8,0.61,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16.6,9.3,12.6,16.6,6.6,12.4,2.8,53.2,0.479,100,8.33,rain,0.0,0.0,56.5,38.9,289.1,1014.8,73.9,16.0,88.1,7.7,4,0.64,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
17.1,6.5,11.8,17.1,3.8,10.8,-1.2,42.6,0.0,0,0.0,none,0.0,0.0,46.0,26.4,295.5,1021.2,62.9,16.0,110.0,9.4,5,0.67,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21.1,7.2,14.4,21.1,5.9,14.2,1.8,45.9,0.0,0,0.0,none,0.0,0.0,35.6,16.7,213.3,1025.5,28.4,16.0,120.3,10.6,8,0.7,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21.2,10.8,16.1,21.2,10.8,16.1,10.1,68.4,0.552,100,8.33,rain,0.0,0.0,31.7,19.7,184.7,1023.4,62.0,15.9,77.7,6.8,4,0.75,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
29.3,16.7,22.8,29.0,16.7,22.8,15.2,65.6,0.036,100,4.17,rain,0.0,0.0,47.4,32.4,189.5,1015.9,53.0,16.0,118.6,10.3,8,0.77,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
28.2,18.8,23.3,27.5,18.8,23.3,13.8,56.8,0.0,0,0.0,none,0.0,0.0,32.0,20.3,55.3,1017.1,55.3,16.0,96.6,8.2,7,0.8,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19.9,15.9,18.0,19.9,15.9,18.0,12.9,72.6,0.0,0,0.0,none,0.0,0.0,37.1,19.7,84.6,1021.4,71.1,16.0,38.4,3.3,1,0.83,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19.9,13.8,16.6,19.9,13.8,16.6,12.4,77.4,0.0,0,0.0,none,0.0,0.0,41.4,27.8,55.8,1017.3,96.6,14.5,34.4,2.8,1,0.87,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20.5,13.7,16.6,20.5,13.7,16.6,5.1,48.4,0.0,0,0.0,none,0.0,0.0,61.0,40.4,74.7,1020.7,62.5,16.0,94.1,8.0,6,0.9,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17.7,11.6,14.0,17.7,11.6,14.0,5.2,56.0,0.0,0,0.0,none,0.0,0.0,47.3,33.9,69.9,1026.5,83.1,16.0,80.6,7.1,3,0.93,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21.7,10.5,15.9,21.7,10.5,15.9,10.6,71.5,0.0,0,0.0,none,0.0,0.0,39.2,26.1,73.3,1026.1,86.3,16.0,74.1,6.2,3,0.97,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
24.9,15.6,19.5,24.9,15.6,19.5,17.1,86.3,13.88,100,45.83,rain,0.0,0.0,28.4,19.5,45.4,1018.2,83.6,13.0,34.8,2.8,2,0.0,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
28.2,17.7,22.8,28.5,17.7,22.8,16.9,72.3,7.761,100,20.83,rain,0.0,0.0,33.3,22.9,327.4,1015.8,61.5,15.6,97.0,8.4,6,0.03,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
21.9,15.6,18.0,21.9,15.6,18.0,14.9,82.3,0.0,0,0.0,none,0.0,0.0,32.8,20.9,72.0,1021.8,94.2,15.8,39.8,3.5,2,0.07,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
25.4,16.6,19.7,25.4,16.6,19.7,14.7,73.6,0.0,0,0.0,none,0.0,0.0,19.1,14.0,102.6,1022.4,67.8,16.0,71.7,6.0,2,0.1,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26.0,16.3,21.2,26.0,16.3,21.2,16.8,77.0,0.0,0,0.0,none,0.0,0.0,25.9,16.1,147.9,1022.2,53.8,15.8,98.5,8.3,6,0.14,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26.6,18.5,22.2,26.6,18.5,22.2,18.2,79.2,0.0,0,0.0,none,0.0,0.0,29.2,17.5,148.5,1021.9,67.3,15.8,63.1,5.5,2,0.18,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26.1,22.1,23.8,26.1,22.1,23.8,21.8,88.6,2.032,100,37.5,rain,0.0,0.0,44.3,25.5,162.5,1018.1,84.4,14.8,41.6,3.5,2,0.21,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
29.9,23.3,26.0,32.9,23.3,27.0,22.1,80.1,0.0,0,0.0,none,0.0,0.0,44.6,30.3,191.3,1015.2,75.5,15.2,76.0,6.5,3,0.25,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
28.3,20.5,24.3,27.4,20.5,24.1,13.8,55.7,0.278,100,4.17,rain,0.0,0.0,50.0,32.7,315.5,1014.2,49.2,16.0,98.0,8.6,9,0.28,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
23.7,15.9,20.4,23.7,15.9,20.4,6.0,39.5,0.0,0,0.0,none,0.0,0.0,41.6,28.5,337.9,1019.5,36.8,16.0,97.8,8.3,7,0.32,2020,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23.8,13.0,18.5,23.8,13.0,18.5,4.3,40.2,0.0,0,0.0,none,0.0,0.0,31.7,21.1,315.2,1024.1,36.0,16.0,101.6,8.8,8,0.35,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24.9,14.1,19.3,24.9,14.1,19.3,10.7,58.2,0.0,0,0.0,none,0.0,0.0,31.3,21.8,193.4,1017.4,69.2,16.0,62.9,5.3,3,0.39,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33.3,19.9,26.6,34.2,19.9,27.0,17.6,59.9,0.0,0,0.0,none,0.0,0.0,42.5,28.5,216.2,1007.7,64.1,16.0,84.6,7.2,4,0.42,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32.8,22.9,27.6,35.0,22.9,28.3,19.0,61.4,10.208,100,12.5,rain,0.0,0.0,79.6,20.2,175.5,1010.8,51.2,15.7,80.6,6.9,6,0.46,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
30.6,21.5,24.8,33.7,21.5,25.6,21.1,81.5,36.408,100,33.33,rain,0.0,0.0,35.3,24.1,179.6,1012.4,64.4,15.4,63.8,5.4,3,0.5,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32.7,22.1,27.1,34.8,22.1,27.9,19.6,67.3,0.022,100,4.17,rain,0.0,0.0,43.9,25.6,301.9,1010.5,57.7,16.0,89.8,7.6,5,0.53,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.1,19.8,24.3,26.9,19.8,24.2,12.0,47.0,0.022,100,4.17,rain,0.0,0.0,32.8,23.2,338.1,1013.9,40.5,16.0,97.2,8.4,6,0.56,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.8,17.5,22.9,27.3,17.5,22.8,11.5,50.4,0.0,0,0.0,none,0.0,0.0,22.7,19.4,28.5,1017.1,24.0,16.0,98.1,8.5,7,0.59,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31.2,18.9,25.4,35.4,18.9,27.0,18.8,67.3,0.0,0,0.0,none,0.0,0.0,27.7,22.8,176.6,1014.9,55.5,16.0,87.4,7.6,6,0.62,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31.6,24.2,27.8,37.7,24.2,30.5,23.0,75.4,0.0,0,0.0,none,0.0,0.0,48.6,35.9,184.1,1013.3,70.8,16.0,76.1,6.6,4,0.66,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.9,23.7,26.4,30.9,23.7,26.7,20.9,73.6,9.136,100,33.33,rain,0.0,0.0,45.8,26.9,211.4,1016.0,79.4,15.0,62.2,5.5,4,0.69,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
30.6,20.6,26.2,29.5,20.6,25.8,12.8,44.8,0.0,0,0.0,none,0.0,0.0,31.7,19.8,326.2,1020.0,40.5,16.0,92.5,8.0,7,0.72,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26.1,18.1,22.6,26.1,18.1,22.6,10.1,45.5,0.0,0,0.0,none,0.0,0.0,29.9,22.7,13.5,1021.9,34.3,16.0,88.8,7.8,7,0.75,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25.5,17.0,21.1,25.5,17.0,21.1,9.9,49.2,0.0,0,0.0,none,0.0,0.0,31.7,23.0,64.8,1025.9,56.8,16.0,85.0,7.1,7,0.79,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
24.9,16.9,21.0,24.9,16.9,21.0,11.5,55.7,0.0,0,0.0,none,0.0,0.0,38.9,24.8,67.0,1027.4,67.2,16.0,91.0,7.8,6,0.82,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
25.4,18.2,21.1,25.4,18.2,21.1,11.5,55.2,0.0,0,0.0,none,0.0,0.0,43.2,28.1,54.9,1026.2,67.3,16.0,75.0,6.5,3,0.85,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22.0,18.2,20.0,22.0,18.2,20.0,16.6,81.1,20.202,100,37.5,rain,0.0,0.0,50.4,27.6,45.5,1021.5,88.6,14.0,29.9,2.4,1,0.88,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.1,19.9,23.1,27.9,19.9,23.1,18.7,78.1,0.407,100,16.67,rain,0.0,0.0,33.1,19.7,107.1,1019.0,80.1,14.9,51.8,4.4,3,0.92,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
27.8,20.3,23.8,29.2,20.3,24.0,19.3,76.9,0.278,100,8.33,rain,0.0,0.0,36.4,20.2,187.5,1018.9,62.4,16.0,52.8,4.6,3,0.95,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
26.0,20.4,22.5,26.0,20.4,22.5,19.8,84.9,14.357,100,25.0,rain,0.0,0.0,24.8,15.4,113.3,1017.4,52.6,15.3,40.5,3.4,1,0.98,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
29.2,21.4,24.6,30.4,21.4,25.2,20.3,78.2,0.0,0,0.0,none,0.0,0.0,22.7,19.6,111.6,1015.8,56.6,15.2,66.8,5.6,4,0.0,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31.6,21.4,25.5,35.4,21.4,26.6,20.9,76.9,0.265,100,16.67,rain,0.0,0.0,49.9,24.4,180.0,1014.2,46.6,16.0,68.9,5.8,5,0.05,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
31.0,21.4,26.1,35.2,21.4,27.7,21.3,76.2,0.0,0,0.0,none,0.0,0.0,36.7,23.6,183.2,1008.4,56.4,15.9,67.0,5.7,3,0.09,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.9,23.8,26.5,29.6,23.8,26.4,16.1,54.7,0.0,0,0.0,none,0.0,0.0,35.4,23.9,277.1,1009.3,55.5,16.0,85.7,7.2,6,0.12,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29.3,21.8,25.2,29.4,21.8,25.4,17.1,61.7,0.0,0,0.0,none,0.0,0.0,26.3,16.1,165.0,1014.6,57.7,16.0,59.6,5.2,3,0.16,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31.6,19.2,26.0,31.2,19.2,25.8,15.5,55.8,0.0,0,0.0,none,0.0,0.0,32.8,29.6,260.8,1016.1,43.3,16.0,75.7,6.4,6,0.19,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33.2,23.6,27.5,34.8,23.6,28.3,19.7,64.3,0.534,100,8.33,rain,0.0,0.0,51.5,24.9,217.3,1011.0,62.3,15.8,62.4,5.5,4,0.23,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32.1,24.2,28.0,34.0,24.2,29.1,20.2,63.7,0.0,0,0.0,none,0.0,0.0,36.7,19.7,285.6,1008.4,56.1,16.0,73.1,6.3,5,0.25,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33.1,24.3,28.7,33.2,24.3,28.9,17.9,54.3,0.0,0,0.0,none,0.0,0.0,35.3,27.1,335.6,1010.7,50.3,16.0,83.2,7.1,5,0.3,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32.7,22.6,27.9,32.3,22.6,28.0,17.0,53.7,0.0,0,0.0,none,0.0,0.0,29.2,20.4,352.2,1012.0,53.4,16.0,76.8,6.5,5,0.34,2020,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30.0,22.6,25.9,31.6,22.6,26.5,20.0,70.6,3.133,100,16.67,rain,0.0,0.0,26.3,19.5,77.3,1011.5,54.0,16.0,71.2,6.0,4,0.37,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.3,22.0,27.8,33.7,22.0,28.1,18.0,57.9,0.0,0,0.0,none,0.0,0.0,31.7,19.7,346.9,1012.0,36.9,16.0,73.4,6.2,4,0.41,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35.5,24.1,30.3,37.0,24.1,31.0,18.0,49.2,0.0,0,0.0,none,0.0,0.0,29.5,20.2,321.4,1011.7,20.4,16.0,84.0,7.1,6,0.45,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.6,25.3,29.2,35.6,25.3,30.7,20.0,58.3,0.537,100,4.17,rain,0.0,0.0,30.2,17.7,44.9,1012.7,40.9,15.7,73.0,6.2,4,0.48,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.6,24.2,28.4,38.7,24.2,30.7,22.4,71.3,0.0,0,0.0,none,0.0,0.0,31.7,24.7,186.9,1014.8,44.3,13.5,69.8,6.1,4,0.5,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.8,23.7,28.0,40.5,23.7,29.9,22.6,73.8,11.12,100,20.83,rain,0.0,0.0,84.6,53.6,149.9,1016.1,48.9,15.8,70.4,6.0,5,0.55,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
31.9,21.6,26.0,36.6,21.6,27.8,21.9,79.0,57.705,100,20.83,rain,0.0,0.0,51.8,35.3,132.2,1017.3,64.5,15.0,64.8,5.6,3,0.58,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32.7,24.1,28.2,35.5,24.1,29.5,21.6,69.9,0.0,0,0.0,none,0.0,0.0,27.7,19.4,163.0,1015.2,31.1,15.9,81.3,7.2,5,0.61,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31.6,24.0,27.9,34.9,24.0,29.6,22.0,71.8,0.0,0,0.0,none,0.0,0.0,32.0,17.5,89.7,1014.2,47.4,15.9,72.0,6.0,4,0.64,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32.0,24.8,27.9,35.6,24.8,29.7,22.2,72.2,0.0,0,0.0,none,0.0,0.0,40.7,25.2,12.1,1010.3,53.5,16.0,69.8,5.9,4,0.68,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.3,24.2,28.5,35.3,24.2,29.4,20.0,62.2,0.0,0,0.0,none,0.0,0.0,38.4,26.9,269.8,1006.8,56.7,15.9,59.4,5.0,4,0.71,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31.6,22.8,27.3,32.9,22.8,28.0,17.9,57.2,0.602,100,8.33,rain,0.0,0.0,51.8,19.4,200.1,1008.4,43.9,16.0,58.0,4.8,4,0.75,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32.1,21.5,26.8,31.9,21.5,27.0,18.1,61.8,3.051,100,4.17,rain,0.0,0.0,27.0,15.6,354.4,1010.6,53.6,16.0,70.7,6.1,5,0.77,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
31.6,22.6,27.1,30.5,22.6,26.9,16.6,56.5,0.267,100,4.17,rain,0.0,0.0,34.7,20.9,334.4,1015.6,38.5,15.9,81.3,6.9,6,0.8,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32.1,21.9,27.4,32.4,21.9,27.9,18.3,59.4,0.0,0,0.0,none,0.0,0.0,33.5,18.0,141.9,1020.0,34.6,16.0,74.0,6.3,4,0.84,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.5,24.2,26.7,33.2,24.2,27.8,21.6,74.3,0.0,0,0.0,none,0.0,0.0,43.6,24.1,140.8,1022.6,66.6,16.0,68.9,5.6,4,0.87,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.9,24.2,29.0,38.9,24.2,31.6,22.2,68.8,0.0,0,0.0,none,0.0,0.0,33.8,20.3,183.0,1019.4,58.4,16.0,79.7,6.9,5,0.9,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.0,26.4,31.0,36.6,26.4,32.6,19.3,52.8,0.0,0,0.0,none,0.0,0.0,27.7,14.2,61.0,1017.7,38.1,16.0,84.7,7.3,6,0.93,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
37.0,26.3,31.2,40.9,26.3,34.7,22.4,61.4,0.0,0,0.0,none,0.0,0.0,33.5,19.7,192.1,1014.1,42.3,15.9,78.3,6.7,5,0.97,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36.6,26.1,30.8,42.4,26.1,33.8,22.0,61.3,3.706,100,16.67,rain,0.0,0.0,64.8,23.8,243.8,1012.8,62.4,15.7,51.8,4.4,2,0.0,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
35.5,24.4,29.5,39.3,24.4,31.0,21.4,64.5,11.207,100,20.83,rain,0.0,0.0,37.1,14.4,157.2,1015.8,44.9,15.4,91.7,7.7,9,0.03,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
34.2,23.2,26.2,41.4,23.2,27.7,23.1,84.3,14.85,100,25.0,rain,0.0,0.0,90.9,44.3,219.7,1017.3,52.5,16.0,74.5,6.5,6,0.07,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.3,23.2,27.3,38.2,23.2,29.3,22.5,76.9,43.963,100,12.5,rain,0.0,0.0,57.2,43.2,198.5,1017.7,61.2,15.4,74.7,6.5,5,0.11,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
28.9,23.3,26.1,32.5,23.3,27.4,22.6,82.0,11.73,100,33.33,rain,0.0,0.0,20.5,16.4,162.2,1018.3,62.5,15.6,47.2,4.1,3,0.14,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.5,23.1,27.9,37.5,23.1,30.4,22.5,73.6,0.0,0,0.0,none,0.0,0.0,19.4,14.6,117.2,1018.8,35.6,15.9,72.3,6.1,6,0.18,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.3,25.5,30.2,35.8,25.5,32.1,21.1,61.4,0.0,0,0.0,none,0.0,0.0,35.3,23.2,258.5,1017.1,43.1,15.9,89.7,7.6,6,0.21,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.9,25.7,30.8,38.5,25.7,33.1,20.7,56.2,0.0,0,0.0,none,0.0,0.0,33.5,21.4,230.5,1012.9,46.3,16.0,82.7,7.1,5,0.25,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.8,25.9,29.7,38.1,25.9,32.3,21.9,64.1,0.0,0,0.0,none,0.0,0.0,37.8,23.0,273.5,1011.3,49.4,16.0,72.0,6.2,5,0.28,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.3,23.7,28.7,33.2,23.7,29.2,19.2,60.1,0.0,0,0.0,none,0.0,0.0,27.7,21.0,224.6,1013.8,34.0,16.0,78.2,6.8,5,0.32,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.8,23.8,28.8,39.5,23.8,30.6,22.0,69.1,3.356,100,12.5,rain,0.0,0.0,64.8,36.1,188.8,1011.7,51.3,16.0,75.7,6.6,5,0.36,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
26.5,23.3,24.8,26.5,23.3,24.8,22.2,85.6,3.077,100,50.0,rain,0.0,0.0,25.2,19.5,57.9,1009.7,76.2,15.2,19.6,1.7,1,0.39,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
30.6,23.6,27.1,34.7,23.6,29.1,22.5,76.6,0.0,0,0.0,none,0.0,0.0,26.3,17.8,148.1,1013.1,59.6,16.0,44.4,3.9,2,0.43,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.8,26.0,28.6,38.6,26.0,31.4,23.7,76.1,1.641,100,4.17,rain,0.0,0.0,66.6,27.3,185.1,1012.3,72.7,16.0,67.5,5.9,4,0.46,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.5,23.2,26.4,32.3,23.2,27.2,19.8,68.9,11.412,100,37.5,rain,0.0,0.0,60.8,15.7,226.2,1017.0,55.3,15.4,66.9,5.5,6,0.5,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.5,21.1,24.7,32.1,21.1,25.1,20.8,80.2,66.477,100,62.5,rain,0.0,0.0,55.4,38.3,290.5,1010.9,65.7,12.7,53.3,4.5,2,0.53,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.6,21.5,26.3,31.3,21.5,26.8,19.4,67.7,0.036,100,4.17,rain,0.0,0.0,22.7,15.2,17.0,1016.9,42.9,15.9,79.7,6.8,5,0.56,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29.8,22.8,25.8,33.6,22.8,26.6,21.6,77.9,14.831,100,29.17,rain,0.0,0.0,27.7,19.7,61.5,1018.0,59.7,15.3,49.3,4.3,4,0.6,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.0,23.2,26.0,33.3,23.2,27.2,21.6,77.4,9.264,100,8.33,rain,0.0,0.0,50.0,20.2,168.2,1018.4,62.6,15.9,59.3,5.3,4,0.63,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29.7,22.7,25.5,32.0,22.7,26.1,21.2,78.0,0.022,100,4.17,rain,0.0,0.0,23.0,15.3,63.3,1020.5,65.2,16.0,48.9,4.3,2,0.66,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.6,23.2,26.9,34.3,23.2,28.9,22.7,78.5,0.277,100,8.33,rain,0.0,0.0,29.5,19.7,181.8,1019.8,50.2,15.9,51.8,4.5,2,0.69,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
32.8,24.1,28.1,36.9,24.1,30.5,23.2,76.0,0.0,0,0.0,none,0.0,0.0,18.0,23.1,177.5,1017.1,36.0,15.8,59.4,5.2,3,0.73,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.2,24.7,28.2,37.8,24.7,31.2,23.7,77.3,0.0,0,0.0,none,0.0,0.0,24.8,19.8,175.6,1014.4,45.8,16.0,63.8,5.2,4,0.75,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32.7,23.8,27.2,38.1,23.8,29.3,23.0,78.3,8.444,100,29.17,rain,0.0,0.0,59.0,22.5,160.0,1016.2,51.3,15.5,69.8,6.0,5,0.79,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
28.3,23.7,25.7,31.8,23.7,26.5,22.9,84.8,17.223,100,37.5,rain,0.0,0.0,21.2,14.3,57.2,1017.6,64.2,14.1,36.9,3.0,2,0.82,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30.6,24.2,26.2,33.8,24.2,27.1,22.2,79.5,3.203,100,16.67,rain,0.0,0.0,37.1,21.2,41.8,1015.2,73.7,15.5,56.0,4.8,3,0.86,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26.0,23.2,24.5,26.0,23.2,24.5,20.0,76.2,0.329,100,20.83,rain,0.0,0.0,33.5,19.4,52.0,1014.9,77.3,16.0,29.1,2.5,1,0.89,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24.8,18.8,21.5,24.8,18.8,21.5,18.7,84.4,32.094,100,58.33,rain,0.0,0.0,36.0,26.7,22.6,1013.7,65.5,13.5,29.1,2.3,1,0.92,2020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
